"„all the latest parameter estimates for Buzzerbeater in one big sheet, scroll at will“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.00,.00,.00,.01,.00,.00,.00,.00,.00,.01,1%,,C,.00,.00,.00,.00,.00,.00,.25,.00,.00,.00,.25,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.06,.00,.08,24%,,C,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.01,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.26,.27,.00,.05,.02,.06,.00,.00,.03,.00,.70,,,abs,.01,.01,.00,.02,.00,.05,.60,.00,.01,.00,.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.03,.00,.00,.00,.03,.02,.00,.26,.00,.34,,,abs,.00,.00,.00,.17,.00,.47,.03,.00,.00,.00,.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,38%,39%,%,8%,3%,9%,%,%,4%,%,,,,rel,1%,2%,%,3%,%,7%,86%,%,1%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,9%,%,%,%,9%,6%,1%,75%,%,,,,rel,%,%,%,25%,%,70%,4%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patient,,,,,,,Outside Scoring,,,,,,,Patient,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patient,,,,,,,Rebounding,,,,,,,Patient,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.08,.13,.00,.05,.00,.00,.00,.00,.00,.00,.27,39%,,PG,.00,.01,.00,.04,.00,.00,.00,.00,.00,.00,.05,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.01,.01,.00,.04,.00,.06,17%,,PG,.00,.00,.00,.09,.00,.21,.01,.00,.00,.00,.30,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.09,.10,.00,.03,.00,.00,.00,.00,.00,.00,.23,33%,,SG,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.02,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.00,.00,.00,.01,.01,.00,.01,.00,.03,9%,,SG,.00,.00,.00,.05,.00,.09,.01,.00,.00,.00,.16,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.06,.03,.00,.01,.00,.00,.00,.00,.00,.00,.11,16%,,SF,.02,.00,.00,.01,.00,.02,.12,.00,.00,.00,.18,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.00,.00,.00,.01,.01,.00,.05,.00,.06,18%,,SF,.00,.00,.00,.03,.00,.07,.01,.00,.00,.00,.12,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.00,.03,.00,.01,.00,.01,.00,.00,.00,.00,.05,7%,,PF,.00,.00,.00,.01,.00,.02,.17,.00,.00,.00,.20,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.00,.00,.00,.01,.01,.00,.06,.00,.07,21%,,PF,.00,.00,.00,.03,.00,.01,.02,.00,.01,.00,.06,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.01,.00,.00,.00,.00,.00,.00,.02,.00,.04,6%,,C,.00,.00,.00,.00,.00,.00,.26,.00,.00,.00,.26,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.01,.00,.00,.10,.00,.13,36%,,C,.00,.00,.00,.01,.00,.00,.01,.00,.01,.00,.03,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.24,.30,.00,.11,.01,.02,.00,.00,.02,.00,.69,,,abs,.02,.01,.00,.07,.00,.05,.55,.00,.00,.00,.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.03,.00,.00,.00,.03,.03,.00,.26,.00,.35,,,abs,.00,.00,.00,.21,.00,.39,.07,.00,.01,.00,.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,34%,44%,%,16%,1%,3%,%,%,3%,%,,,,rel,3%,2%,%,10%,1%,6%,78%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,7%,%,%,%,8%,9%,%,76%,%,,,,rel,%,%,%,31%,%,57%,10%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Look Inside,,,,,,,Outside Scoring,,,,,,,Look Inside,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Look Inside,,,,,,,Rebounding,,,,,,,Look Inside,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.06,.11,.00,.02,.01,.00,.00,.00,.00,.00,.20,31%,,PG,.00,.00,.00,.00,.01,.01,.01,.00,.01,.00,.04,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.01,.00,.00,.03,.00,.05,13%,,PG,.00,.00,.00,.07,.00,.25,.00,.00,.00,.00,.32,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.07,.08,.00,.01,.00,.00,.00,.00,.00,.00,.16,25%,,SG,.00,.02,.00,.00,.00,.00,.01,.00,.00,.00,.03,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.01,.00,.00,.03,.00,.05,15%,,SG,.00,.00,.00,.02,.00,.10,.00,.00,.00,.00,.12,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.06,.03,.00,.02,.00,.01,.00,.00,.01,.00,.13,21%,,SF,.00,.00,.00,.00,.00,.00,.15,.00,.00,.00,.16,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.00,.00,.00,.01,.01,.00,.05,.00,.07,19%,,SF,.00,.00,.00,.03,.00,.10,.00,.00,.00,.00,.13,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.01,.02,.00,.02,.01,.01,.00,.00,.01,.00,.08,12%,,PF,.00,.00,.00,.00,.00,.00,.21,.00,.02,.00,.24,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.01,.01,.00,.07,.00,.09,24%,,PF,.00,.00,.00,.03,.00,.03,.00,.00,.01,.00,.07,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.03,.00,.01,.01,.01,.00,.00,.00,.00,.07,10%,,C,.00,.01,.00,.00,.00,.00,.28,.00,.03,.00,.33,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.01,.00,.09,.00,.11,29%,,C,.00,.00,.00,.03,.00,.01,.00,.00,.01,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.19,.26,.00,.08,.04,.03,.00,.00,.03,.00,.63,,,abs,.00,.03,.00,.00,.01,.01,.67,.00,.07,.00,.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.03,.00,.00,.00,.04,.02,.00,.27,.00,.37,,,abs,.00,.00,.00,.17,.00,.49,.01,.00,.02,.00,.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,31%,41%,%,13%,6%,4%,%,%,5%,%,,,,rel,%,4%,%,%,1%,2%,85%,%,9%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,9%,%,%,%,11%,7%,%,73%,%,,,,rel,%,%,%,25%,%,71%,1%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Post,,,,,,,Outside Scoring,,,,,,,Low Post,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Post,,,,,,,Rebounding,,,,,,,Low Post,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.07,.07,.00,.00,.00,.00,.00,.00,.00,.00,.14,23%,,PG,.00,.00,.00,.01,.01,.02,.00,.00,.00,.00,.05,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.01,.00,.00,.06,.00,.08,21%,,PG,.00,.00,.00,.07,.00,.22,.00,.00,.00,.00,.29,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.10,.07,.00,.01,.00,.03,.00,.00,.00,.00,.20,33%,,SG,.00,.00,.00,.00,.00,.04,.00,.00,.00,.00,.05,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.01,.00,.00,.04,.00,.05,14%,,SG,.00,.00,.00,.04,.00,.11,.01,.00,.00,.00,.15,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.06,.03,.00,.01,.00,.02,.00,.00,.00,.00,.12,19%,,SF,.00,.00,.00,.00,.00,.01,.14,.00,.00,.00,.14,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.01,.00,.00,.00,.01,.00,.00,.07,.00,.09,23%,,SF,.00,.00,.00,.02,.00,.10,.01,.00,.00,.00,.13,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.00,.00,.00,.03,.00,.00,.00,.00,.01,.00,.04,6%,,PF,.00,.00,.00,.01,.00,.01,.21,.00,.00,.00,.23,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.01,.00,.00,.06,.00,.08,20%,,PF,.00,.00,.00,.02,.00,.03,.00,.00,.00,.00,.05,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.03,.00,.06,.03,.00,.00,.00,.02,.00,.13,21%,,C,.00,.00,.00,.01,.00,.00,.31,.00,.01,.00,.34,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.07,.00,.08,22%,,C,.00,.00,.00,.03,.00,.00,.01,.00,.00,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.23,.20,.00,.10,.03,.05,.00,.00,.03,.00,.63,,,abs,.00,.01,.00,.03,.01,.08,.66,.00,.02,.00,.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.04,.00,.00,.00,.03,.01,.00,.30,.00,.38,,,abs,.00,.00,.00,.17,.00,.46,.03,.00,.00,.00,.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,36%,32%,%,15%,4%,8%,%,%,5%,%,,,,rel,%,1%,%,4%,1%,9%,82%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,1%,10%,%,%,%,7%,4%,%,78%,%,,,,rel,%,%,%,26%,%,69%,4%,%,1%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motion,,,,,,,Outside Scoring,,,,,,,Motion,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion,,,,,,,Rebounding,,,,,,,Motion,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.06,.14,.00,.05,.00,.04,.00,.00,.00,.00,.29,34%,,PG,.00,.01,.00,.00,.02,.00,.01,.00,.00,.00,.03,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.00,.00,.00,.00,.00,.01,.01,.00,.02,8%,,PG,.00,.00,.00,.06,.03,.23,.00,.00,.00,.00,.32,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.09,.07,.00,.03,.00,.10,.00,.00,.00,.00,.29,35%,,SG,.00,.01,.00,.00,.00,.00,.00,.00,.01,.00,.02,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.00,.00,.00,.00,.00,.01,.03,.00,.03,12%,,SG,.00,.00,.00,.02,.01,.12,.03,.00,.01,.00,.20,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.05,.02,.00,.02,.00,.00,.00,.00,.05,.00,.13,16%,,SF,.00,.02,.00,.00,.01,.02,.10,.00,.00,.00,.16,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.00,.00,.00,.02,.00,.00,.05,.00,.07,24%,,SF,.00,.00,.00,.02,.00,.09,.01,.00,.01,.00,.12,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.03,.00,.00,.02,.02,.01,.00,.00,.00,.00,.07,8%,,PF,.00,.01,.00,.00,.02,.00,.13,.00,.00,.00,.17,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.00,.00,.00,.00,.00,.00,.03,.00,.03,11%,,PF,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.01,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.01,.00,.00,.05,.00,.00,.00,.00,.01,.00,.06,7%,,C,.00,.00,.00,.00,.00,.00,.21,.00,.01,.00,.23,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.01,.01,.00,.00,.00,.01,.00,.00,.10,.00,.13,44%,,C,.00,.00,.00,.00,.00,.00,.02,.00,.02,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.23,.22,.00,.17,.02,.15,.00,.00,.05,.00,.85,,,abs,.00,.05,.00,.00,.05,.03,.45,.00,.02,.00,.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.01,.01,.00,.00,.00,.03,.00,.02,.21,.00,.28,,,abs,.00,.00,.00,.11,.04,.44,.06,.00,.04,.00,.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,27%,26%,%,20%,2%,18%,%,%,6%,%,,,,rel,%,8%,%,%,9%,5%,74%,%,4%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,3%,4%,%,%,%,10%,%,8%,74%,%,,,,rel,%,%,%,15%,5%,64%,9%,%,6%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run and Gun,,,,,,,Outside Scoring,,,,,,,Run and Gun,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run and Gun,,,,,,,Rebounding,,,,,,,Run and Gun,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.12,.14,.00,.00,.00,.01,.00,.00,.00,.00,.27,33%,,PG,.00,.00,.00,.00,.00,.01,.01,.00,.01,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.00,.00,.00,.00,.00,.00,.01,.00,.02,6%,,PG,.00,.00,.00,.09,.00,.24,.01,.00,.00,.00,.34,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.15,.11,.00,.00,.00,.01,.00,.00,.00,.00,.27,33%,,SG,.00,.00,.00,.00,.00,.01,.01,.00,.00,.00,.03,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.00,.00,.00,.00,.00,.00,.01,.00,.02,7%,,SG,.00,.00,.00,.02,.00,.11,.01,.00,.00,.00,.14,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.08,.06,.00,.00,.00,.01,.00,.00,.00,.00,.15,19%,,SF,.00,.00,.00,.00,.00,.01,.11,.00,.00,.00,.13,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.00,.00,.00,.00,.00,.00,.05,.00,.06,23%,,SF,.00,.00,.00,.02,.00,.11,.01,.00,.00,.00,.14,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.03,.03,.00,.01,.00,.01,.00,.00,.00,.00,.07,9%,,PF,.00,.01,.00,.00,.00,.01,.14,.00,.00,.00,.16,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.00,.00,.00,.00,.00,.00,.06,.00,.07,26%,,PF,.00,.00,.00,.01,.00,.02,.00,.00,.00,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.04,.00,.01,.00,.01,.00,.00,.00,.00,.06,7%,,C,.00,.01,.00,.00,.00,.01,.22,.00,.00,.00,.24,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.09,.00,.10,38%,,C,.00,.00,.00,.00,.00,.00,.01,.00,.00,.00,.01,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.37,.38,.00,.02,.01,.04,.00,.00,.00,.00,.82,,,abs,.00,.03,.00,.01,.00,.06,.49,.00,.01,.00,.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.02,.00,.00,.00,.00,.01,.02,.23,.00,.27,,,abs,.00,.00,.00,.14,.02,.48,.03,.00,.00,.00,.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,46%,46%,%,2%,1%,4%,%,%,1%,%,,,,rel,%,4%,%,1%,%,10%,83%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,7%,%,%,%,%,3%,7%,83%,%,,,,rel,%,%,%,21%,2%,72%,4%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Princeton,,,,,,,Outside Scoring,,,,,,,Princeton,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton,,,,,,,Rebounding,,,,,,,Princeton,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.11,.12,.00,.01,.00,.00,.00,.00,.00,.00,.23,28%,,PG,.00,.01,.00,.00,.00,.00,.03,.00,.00,.00,.05,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.00,.00,.00,.00,.00,.00,.03,.00,.04,14%,,PG,.00,.00,.00,.07,.01,.20,.01,.00,.00,.00,.30,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.14,.11,.00,.01,.00,.01,.00,.00,.00,.00,.27,33%,,SG,.00,.01,.00,.00,.00,.01,.00,.00,.00,.00,.02,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.00,.00,.00,.00,.00,.00,.04,.00,.05,16%,,SG,.00,.00,.00,.04,.01,.13,.01,.00,.00,.00,.19,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.11,.04,.00,.02,.00,.01,.00,.00,.00,.00,.19,23%,,SF,.00,.01,.00,.01,.00,.01,.10,.00,.00,.00,.14,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.00,.00,.00,.00,.00,.00,.05,.00,.06,22%,,SF,.00,.00,.00,.04,.00,.08,.01,.00,.00,.00,.13,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.05,.03,.00,.02,.00,.01,.00,.00,.00,.00,.12,14%,,PF,.00,.01,.00,.01,.00,.01,.14,.00,.02,.00,.19,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.01,.00,.00,.00,.00,.00,.00,.00,.07,.00,.08,28%,,PF,.00,.00,.00,.03,.00,.02,.01,.00,.00,.00,.05,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.02,2%,,C,.00,.01,.00,.01,.00,.00,.17,.00,.01,.00,.20,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.01,.00,.00,.00,.00,.00,.00,.00,.05,.00,.06,20%,,C,.00,.00,.00,.02,.00,.00,.00,.00,.00,.00,.02,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.40,.30,.00,.07,.01,.04,.00,.00,.01,.00,.83,,,abs,.00,.05,.00,.04,.00,.03,.45,.00,.04,.00,.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.02,.00,.00,.00,.00,.01,.01,.00,.24,.00,.29,,,abs,.00,.00,.00,.19,.03,.44,.03,.00,.00,.00,.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,48%,36%,%,9%,2%,5%,%,%,1%,%,,,,rel,%,8%,%,6%,%,5%,75%,%,6%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,8%,1%,%,%,%,4%,5%,%,82%,%,,,,rel,%,%,%,28%,4%,63%,5%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man to man,,,,,,,Perimeter Defense,,,,,,,Man to man,,,,,,,Inside Defense,,,,,,,Man to man,,,,,,,Rebounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.00,.16,.03,.00,.01,.00,.00,.00,.00,.20,28%,,PG,.00,.00,.00,.01,.00,.02,.00,.00,.01,.00,.04,5%,,PG,.00,.01,.00,.00,.00,.00,.00,.00,.04,.00,.05,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.00,.20,.02,.00,.01,.00,.00,.00,.00,.24,34%,,SG,.00,.00,.00,.01,.00,.01,.00,.01,.01,.00,.04,6%,,SG,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.00,.12,.02,.00,.00,.00,.00,.00,.00,.15,22%,,SF,.00,.00,.00,.01,.00,.01,.00,.11,.01,.00,.14,19%,,SF,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.07,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.00,.04,.02,.00,.00,.00,.00,.01,.00,.08,11%,,PF,.00,.00,.00,.01,.00,.00,.00,.18,.01,.00,.21,30%,,PF,.00,.01,.00,.00,.00,.00,.00,.00,.06,.00,.08,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
